product_name,product_views,add_to_carts,purchases,total_revenue
"Google High Capacity 10,400mAh Charger",1436,150,64,3508.93
Google Luggage Tag,388,178,190,3435.88
Google Women's 1/4 Zip Jacket Charcoal,443,118,64,3420.94
Google Women's Convertible Vest-Jacket Black,377,89,84,3412.18
Google Doodle Decal,2017,726,484,3340.29
Ballpoint Pen & Matching Tube Case,232,105,134,3330.56
Google Slim Utility Travel Bag,1629,222,136,3328.26
Google 2200mAh Micro Charger,619,99,76,3278.03
Bottle Opener Clip,1049,277,204,3240.23
Leather and Metal Ballpoint Pen,494,116,96,3223.52
Waterproof Gear Bag,826,129,84,3211.23
Google 25 oz Blue Stainless Steel Bottle,132,85,88,3210.95
Micro Wireless Earbud,2888,300,82,3209.59
Google Executive Umbrella,153,99,90,3208.63
YouTube Spiral Journal with Pen,545,159,92,3192.52
Clip-on Compact Charger,1167,118,34,3181.34
YouTube Youth Short Sleeve Tee Red,1264,528,290,3174.8
Google Bongo Cupholder Bluetooth Speaker,667,82,40,3156.96
Colored Pencil Set,963,510,340,3155.74
Google Women's Short Sleeve Hero Tee Red Heather,927,432,324,3140.38
Suitcase Organizer Cubes,1644,201,122,3104.68
Google Women's Vintage Hero Tee White,651,372,250,3010.13
Google Onesie Green,619,301,188,2965.48
Google RFID Journal,605,130,118,2959.84
Google Vintage Henley Grey/Black,528,447,188,2954.37
Google Wool Heather Cap Heather/Navy,932,265,146,2939.8
Google Heavyweight Long Sleeve Hero Tee Navy,1160,341,150,2910.42
Rainbow Stylus Pen,184,110,182,2894.4
Google Car Clip Phone Holder,1594,337,220,2849.47
YouTube Trucker Hat,2100,460,128,2843.37
Google Onesie Royal Blue,324,203,120,2809.11
Google Men's Airflow 1/4 Zip Pullover Black,541,113,118,2808.04
Gift Card- $100.00,415,130,52,2758.33
Gel Roller Pen,108,76,148,2751.68
Retractable Ballpoint Pen Red,466,260,152,2723.46
Gift Card - $50.00,348,162,102,2699.83
YouTube Onesie Heather,726,262,174,2652.94
Google Women's Short Sleeve Hero Tee Sky Blue,703,341,216,2651.68
Softsided Travel Pouch Set,1146,217,84,2649.96
Android Journal Book Set,1027,297,136,2644.76
Google Accent Insulated Stainless Steel Bottle,1062,175,64,2641.66
Google Men's Performance Polo Grey/Black,1195,158,64,2595.48
Android Toddler Short Sleeve T-shirt Pink,325,139,138,2583.29
Android Sticker Sheet Ultra Removable,1920,951,422,2573.84
Google Heavyweight Long Sleeve Hero Tee Burgundy,871,263,132,2523.08
24 oz USA Made Aluminum Bottle,594,226,114,2466.15
Executive Twist Ballpoint Pen,134,70,110,2453.68
Google Men's Microfiber 1/4 Zip Pullover Grey/Black,416,89,74,2425.87
Android Women's Fleece Hoodie,293,82,68,2404.77
Google Youth Baseball Raglan Heather/Black,506,189,148,2386.85
Google Youth Girl Hoodie,661,177,136,2383.64
Google Men's Pullover Hoodie,796,153,82,2376.49
Google Men's Vintage Badge Tee White,939,399,298,2356.59
Android Glass Water Bottle with Black Sleeve,929,237,114,2349.65
YouTube Luggage Tag,449,112,52,2331.65
Android BTTF Moonshot Graphic Tee,174,131,226,2309.57
Micro Wireless Earbuds,708,96,36,2301.8
Google Women's Short Sleeve Hero Tee Heather,73,48,68,2285.69
Google Men's Vintage Tank,451,228,232,2281.46
Google Women's Vintage Hero Tee Lavender,262,196,244,2276.72
Google Snapback Hat Black,1062,254,120,2269.78
Google Men's Airflow 1/4 Zip Pullover Lapis,324,90,68,2262.05
Google Men's Skater Tee Grey,198,147,198,2258.82
Google Men's Vintage Badge Tee Sage,461,295,288,2251.39
Android BTTF Cosmos Graphic Tee,305,148,204,2242.37
Google Onesie Red,275,152,122,2239.26
Google Leather Perforated Journal,97,71,78,2229.46
Large Zipper Top Tote Bag,892,136,78,2205.56
Google Youth Short Sleeve T-shirt Royal Blue,452,170,114,2157.23
Google Men's Short Sleeve Performance Badge Tee Navy,477,209,198,2153.85
YouTube Men's Vintage Tee,614,206,130,2123.57
Gunmetal Roller Ball Pen,179,65,92,2118.64
UFO Bluetooth Water Resistant Speaker,120,37,10,2106.31
Android Toddler Short Sleeve T-shirt Pewter,284,132,112,2092.88
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,214,76,84,2090.34
Keyboard DOT Sticker,5585,823,374,2083.44
Google Toddler Hoodie Royal Blue,715,230,122,2081.54
Android Women's Long Sleeve Blended Cardigan Grey,374,184,148,2073.25
Compact Journal with Recycled Pages,274,90,70,2055.99
22 oz Mini Mountain Bottle,283,204,110,2050.42
YouTube Notebook and Pen Set,761,171,96,2019.17
Google Women's Convertible Vest-Jacket Sea Foam Green,930,109,54,2016.32
YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,58,42,80,2002.28
Google Women's Short Sleeve Performance Tee Navy,91,84,76,1946.6
Switch Tone Color Crayon Pen,762,331,202,1944.14
Google Women's Quilted Insulated Vest White,328,80,54,1929.04
Google Youth Short Sleeve Tee Red,219,98,82,1915.19
Google Women's 1/4 Zip Performance Pullover Black,406,132,76,1913.79
Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,443,228,66,1910.97
Google Women's Vintage Hero Tee Black,429,325,316,1877.78
Google Men's Short Sleeve Performance Badge Tee Pewter,289,140,210,1865.27
Android Men's Long Sleeve Badge Crew Tee Heather,294,136,112,1863.01
Google Flashlight,1156,69,28,1862.4
Google Women's Short Sleeve Performance Tee Black,158,66,52,1853.45
Basecamp Explorer Powerbank Flashlight,1135,133,78,1849.28
Google 4400mAh Power Bank,529,97,50,1847.47
Android Men's Short Sleeve Tri-blend Hero Tee Grey,295,119,158,1833.81
Google Men's Skater Tee Charcoal,428,196,154,1825.7
Google Men's Long Sleeve Pullover Badge Tee Heather,179,133,106,1823.23
Metal Texture Roller Pen,502,124,82,1823.08
Blue Metallic Textured Spiral Notebook Set,174,57,46,1805.3
Aria Bluetooth Speaker,245,40,28,1780.83
Google 40 oz Insulated Monster Bottle,560,91,66,1756.47
YouTube Men's Vintage Tank,556,194,132,1739.38
Aluminum Handy Emergency Flashlight,718,124,58,1728.91
Google Youth Short Sleeve Tee White,415,200,128,1703.69
Google Bluetooth Speaker-Power Bank,1268,119,42,1687.97
Android Youth Short Sleeve T-shirt Aqua,303,121,82,1684.82
Satin Black Ballpoint Pen,251,68,66,1657.08
Google Men's Vintage Badge Tee Green,426,160,110,1620.91
Google Women's Scoop Neck Tee Black,308,175,204,1609.97
YouTube Men's Short Sleeve Hero Tee White,1527,585,164,1605.9
Google Men's Convertible Vest-Jacket Pewter,697,67,44,1588.93
Android Men's Short Sleeve Hero Tee Heather,311,130,162,1575.11
Android Spiral Journal with Pen,245,76,34,1553.39
Google 3/4 Sleeve Raglan Badge Henley Black,298,131,98,1544.29
Android Onesie Gold,374,207,118,1527.94
Google Women's Tee Grey,182,139,120,1504.9
Ballpoint Stylus Pen,296,123,88,1484.94
Google Men's Bayside Graphic Tee,456,197,152,1461.88
YouTube Men's Vintage Henley,743,253,110,1438.32
Google 5-Panel Snapback Cap,315,69,94,1428.18
Google Women's Yoga Pants,478,61,38,1422.31
YouTube RFID Journal,1434,127,40,1416.91
Google Men's Performance Hero Tee Gunmetal,253,78,126,1413.46
Android Luggage Tag,200,51,40,1411.93
YouTube Wool Heather Cap Heather/Black,1505,322,66,1399.33
YouTube Men's Long Sleeve Pullover Badge Tee Heather,912,192,74,1391.23
Android Onesie Sprout Green,57,35,44,1382.81
Android Youth Short Sleeve T-shirt Pewter,348,134,88,1376.19
Google Men's Short Sleeve Performance Badge Tee Charcoal,400,87,98,1370.4
Google Toddler Short Sleeve Tee White,351,170,138,1365.93
Google Long Sleeve Raglan Badge Henley Ocean Blue,625,207,114,1332.56
Waze Mobile Phone Vent Mount,592,75,156,1316.89
Google Women's Long Sleeve Tee Lavender,462,182,136,1288.81
Google Toddler Raglan Shirt Blue Heather/Navy,513,193,114,1268.05
Android Toddler Short Sleeve T-shirt Aqua,257,104,78,1256.33
Google Women's Short Sleeve V-Neck Tee Black,311,116,64,1252.99
Google Women's Insulated Thermal Vest Navy,208,46,24,1249.2
UpCycled Handlebar Bag,346,14,12,1219.75
Google Women's Zip Hoodie Grey,172,30,20,1162.31
Android Wool Heather Cap Heather/Black,889,229,86,1145.82
YouTube Women's Short Sleeve Hero Tee Charcoal,64,184,94,1145.24
Google Collapsible Pet Bowl,708,358,230,1100.85
Google Onesie Red/Graphite,408,172,88,1087
You Tube Toddler Short Sleeve Tee Red,607,147,122,1077.2
Seat Pack Organizer,1550,167,106,1063.26
Stadium Cups-Sets of 4,123,49,32,1040.05
Android Men's Engineer Short Sleeve Tee Charcoal,597,220,88,1031.38
16 oz. Hot/Cold Tumbler,90,29,16,1030.02
Android Onesie Baby Blue,187,78,40,1028.26
Crunch Noise Dog Toy,562,317,262,1025.49
UpCycled Bike Saddle Bag,171,6,12,1024.59
Android 25 oz Green Apple Stainless Steel Bottle,54,17,18,1021.52
Gift Card - $250.00,322,92,8,1020.5
Google Toddler Short Sleeve T-shirt Royal Blue,319,147,110,1008.84
Google Women's Vintage T-Shirt Black,232,92,76,991.51
Google Women's Hero V-Neck Tee White,408,313,88,986.52
Google Women's V-Neck Tee Charcoal,241,232,88,934.56
Android Men's Short Sleeve Hero Tee White,268,94,94,926.7
Plastic Sliding Flashlight,708,88,58,910.94
Google PowerKit,432,23,16,900.62
Google Women's Long Sleeve Blended Cardigan Charcoal,123,67,76,888.3
Google Toddler 1/4 Zip Fleece Pewter,352,96,48,873.33
Google Women's Scoop Neck Tee White,201,106,130,873.27
Google Women's Short Sleeve Performance Tee Charcoal,123,42,44,865.15
Google Youth Short Sleeve T-shirt Green,286,119,112,839.53
Google Toddler Short Sleeve Tee Red,301,127,80,837.26
Google Men's Short Sleeve Hero Tee Light Blue,661,430,84,836.11
Google Women's Short Sleeve Hero Tee Grey,217,123,128,824.08
Google Youth Girl Tee Green,225,105,92,822.45
Koozie Can Kooler,226,92,40,816.91
Mistral Rucksack,537,49,16,804.64
Waze Dress Socks,162,176,58,790.47
YouTube Womens 3/4 Sleeve Baseball Raglan White/Black,136,68,62,787.07
Android Men's Vintage Henley,250,98,82,781
Digital Lightshow Smart Speaker and Notification Center,984,48,16,771.69
4-in-1 Carabiner Charger,870,54,26,770.29
Google Toddler Short Sleeve T-shirt Grey,200,81,120,765.88
YouTube Men's Skater Tee Charcoal,141,67,60,748.14
Google Youth Sports Tee Navy,326,108,66,737.36
Google Women's Short Sleeve V-Neck Tee Lavender,247,137,78,728.52
Android Men's Vintage Tank,200,96,90,720.91
Waterpoof Gear Bag,252,17,12,716.4
Google Women's Shell Jacket Blue/Black,263,38,14,716.08
Google Infant Short Sleeve Tee White,342,172,86,706.7
Oasis Backpack,450,40,12,680.59
16 oz. Hot and Cold Tumbler,177,46,42,675.26
Straw Beach Mat,550,124,68,674.31
Google Women's Short Sleeve Shirt Blue,236,97,66,665.12
PowerClip Lightning Charger,126,10,6,655.35
Waze Mood Original Window Decal,255,178,94,654.52
Grip Highlighter Pen 3 Pack,92,51,74,638.95
Android Men's 3/4 Sleeve Raglan Henley Black,185,45,42,606.54
Google Youth Short Sleeve T-shirt Yellow,211,79,80,592.97
Google Pet Feeding Mat,469,165,102,586.45
Android Men's Vintage Tee,261,73,60,580.7
Waze Men's Short Sleeve Tee,63,16,50,544.77
Google Phone Sanitizer,1548,38,10,542.65
Google Women's Scoop Neck Tee Green,117,58,52,500
Women's YouTube Short Sleeve Hero Tee Black,536,344,28,499.07
Google Adult Tee Fruit Games Pineapple,160,39,36,481.92
Google Women's Short Sleeve Badge Tee Red Heather,101,52,46,464.66
Google Women's Short Sleeve Badge Tee Grey,86,59,58,439.78
Latitudes Foldaway Shopper,100,35,22,421.54
Android Lunch Kit,880,105,42,417.49
Android Men's Skater Badge Tee Charcoal,57,41,46,409.24
Google Toddler Short Sleeve T-shirt Green,175,68,52,405.83
Google Women's Vintage Hero Tee Platinum,89,78,68,402.36
Google Infant Short Sleeve Tee Red,203,58,46,401.88
Chevron Shopper,116,57,20,399.13
Pop-a-Point Crayon,78,34,18,377.81
Android BTTF Moonshot Shirt,192,50,38,373.2
Google  Women's Muscle Tee,130,59,30,372.68
Google Toddler Short Sleeve T-shirt Yellow,152,82,50,370.38
Google Women's Performance Golf Polo Blue,55,18,20,353.22
YouTube Infant Short Sleeve Tee Red,91,23,32,350.98
Android Infant Short Sleeve Tee Pewter,164,57,38,349.46
Google Women's Short Sleeve Shirt Dark Grey,130,52,34,336.48
Google Device Holder Sticky Pad,740,101,54,328.85
Yoga Block,535,87,38,321.79
PaperMate Ink Joy Retractable Pen,70,27,22,321.07
Google Men's Zip Hoodie,59,17,10,315.48
Google Women's V-Neck Tee Grey,243,113,36,310.84
Fashion Sunglasses & Pouch,1441,538,46,309.15
YouTube Women's Short Sleeve Tri-blend Badge Tee Grey,114,70,36,308.46
Google Men's Heavyweight Long Sleeve Hero Tee Burgundy,137,35,18,299.82
Compact Eco Journal,85,14,12,298.57
YouTube Women's Short Sleeve Crew Tee,95,41,24,288.31
Android Men's Long & Lean Badge Tee Charcoal,66,74,60,282.55
Waze Baby on Board Window Decal,190,226,68,279.21
Android Stretch Fit Hat,382,149,22,275.02
Android Hard Cover Journal,255,54,14,271.98
Android BTTF Cosmos Shirt,188,40,30,270.76
Android Infant Short Sleeve Tee Pink,105,53,34,262.36
Google Men's Long Sleeve Pullover Crew Tee Heather,121,35,16,259.6
YouTube Men's 3/4 Sleeve Henley,366,90,20,250.09
Google French Terry Cap,171,45,20,237.32
Google Women's Short Sleeve Shirt Red,145,63,26,236.33
Grip Kit Cable Organizer,418,26,8,234.71
Android RFID Journal,568,50,24,229.87
Google Adult Tee Fruit Games Dragonfruit,121,23,18,220.27
Crunch-It Dog Toy,193,81,68,213.42
Android Women's Racer Back Tank Black,61,13,16,210.07
Waze Mood Ninja Window Decal,266,104,78,208.83
Google Women's Performance Hero Tee Gunmetal,57,30,22,205.05
Google Women's Short Sleeve Performance Tee Pewter,100,64,26,201.53
Blue Keeper Notebook Set with Flap,136,34,18,198.68
Android Women's Short Sleeve Badge Tee Dark Heather,141,73,20,190.93
Deluge Waterproof Backpack,471,24,4,184.09
Google Canvas Tote Fruit Games Lemon,230,28,12,171.3
Android Infant Short Sleeve Tee Aqua,136,12,18,167.54
Google 3/4 Sleeve Raglan Henley Grey,65,18,14,158.15
Kick Ball,83,42,16,155.64
Android Women's Short Sleeve Hero Tee Black,155,78,16,151.03
Google Toddler Tee Fruit Games Pineapple,134,16,14,147.16
Waze Pack of 9 Decal Set,198,61,18,142.32
Google Bib White,507,287,18,139.95
Google Women's Quilted Insulated Vest Pewter,96,15,4,139.23
Google Toddler Tee Fruit Games Strawberry,75,11,12,124.79
YouTube Women's Racer Back Tank Black,95,35,14,122.1
Waze Mood Happy Window Decal,151,52,40,116.14
Google Women's Short Sleeve V-Neck Tee Dark Grey,87,49,14,112.34
Google Women's Tee Purple,126,37,10,111.17
Google Bib Red,446,167,14,110.37
Google Men's Performance Tee Gunmetal,109,23,10,108.79
YouTube Men's Long & Lean Tee Charcoal,90,54,18,101.67
Google Infant Short Sleeve Tee Royal Blue,68,44,10,89.58
Solo Pro Backpack,277,19,2,80.34
Google Adult Tee Fruit Games Cherries,71,17,6,80.3
PaperMate Ink Joy RT Pen,87,42,12,76.41
ATOM Wireless Earbud Headset,255,30,4,74
YouTube Sticker Sheet,86,54,18,73.26
Google Toddler Tee Fruit Games Cherries,55,6,4,67.37
Google Women's Short Sleeve V-Neck Tee Stone,70,25,8,66.09
Speed Zone Air Mesh Tote,52,19,6,65.74
Google Toddler Tee Fruit Games Lemon,57,4,4,63.1
Bic Intensity Clic Gel Pen,57,20,10,46.72
Bic Digital Clic Stic Stylus Pen,66,22,8,46.49
Google Men's Long Sleeve Baseball Raglan Cranberry,52,10,4,42.95
25 oz. Infusion Water Bottle,56,7,2,40.14
Set of 3 Packing Cubes,148,9,4,36.33
Google Women's Short Sleeve Hero Dark Grey,261,117,4,36.18
Collapsible Pet Bowl,63,18,8,35.81
Google Women's Tank Top,59,17,4,31.56
Android Women's Short Sleeve Tri-blend Badge Tee Light Grey,56,15,2,19.22
Google Women's Recycled Fabric Tee,174,62,2,17.66
Android 5-Panel Low Cap,73,11,2,15.31
Google Women's Performance Full Zip Jacket Black,853,260,0,
Set of 3 Nested Travel Cases,83,9,0,
Google Women's Short Sleeve Hero V-Neck Tee Black,175,78,0,
Google Stretch Fit Hat,678,187,0,
Google Collapsible Duffel,820,236,0,
Android Baby Essentials Baby Set,151,144,0,
Google Women's Weatherblock Shell Jacket Black,121,57,0,
YouTube Men's Eco-Jersey Henley,198,45,0,
Google Women's 3/4 Sleeve Baseball Raglan Heather/Black,970,451,0,
Android Stretch Fit Hat Black,146,69,0,
Google Men's Softshell Jacket Black/Grey,393,221,0,
Large Recycled Journal/Pen Combo,111,61,0,
Yoga Mat,861,203,0,
Google Men's Weatherblock Shell Jacket Black,1396,296,0,
Google Leather Journal,144,128,0,
"7"" Dog Frisbee",553,470,0,
